Threshold,c1 value,c2 value,c3 value
0.010563,-1,3.1634e-29,1
0.010564,-1,3.1853e-29,1
0.010565,-1,3.2074e-29,1
0.010566,-1,3.2296e-29,1
0.010567,-1,3.252e-29,1
0.010568,-1,3.2745e-29,1
0.010569,-1,3.2972e-29,1
0.01057,-1,3.3201e-29,1
0.010571,-1,3.3431e-29,1
0.010573,-1,3.3663e-29,1
0.010574,-1,3.3896e-29,1
0.010575,-1,3.4131e-29,1
0.010576,-1,3.4368e-29,1
0.010577,-1,3.4606e-29,1
0.010578,-1,3.4846e-29,1
0.010579,-1,3.5088e-29,1
0.01058,-1,3.5331e-29,1
0.010581,-1,3.5576e-29,1
0.010583,-1,3.5822e-29,1
0.010584,-1,3.6071e-29,1
0.010585,-1,3.6321e-29,1
0.010586,-1,3.6573e-29,1
0.010587,-1,3.6826e-29,1
0.010588,-1,3.7081e-29,1
0.010589,-1,3.7339e-29,1
0.01059,-1,3.7597e-29,1
0.010592,-1,3.7858e-29,1
0.010593,-1,3.812e-29,1
0.010594,-1,3.8385e-29,1
0.010595,-1,3.8651e-29,1
0.010596,-1,3.8919e-29,1
0.010597,-1,3.9189e-29,1
0.010598,-1,3.946e-29,1
0.010599,-1,3.9734e-29,1
0.0106,-1,4.0009e-29,1
0.010602,-1,4.0287e-29,1
